Time, Alpha_L1, Alpha_L2, Alpha_R1, Alpha_R2, CamberL1, CamberR1, Fx_Air  , Fx_L1   , Fx_L2   , Fx_R1   , Fx_R2   , Fy_Air  , Fy_L1   , Fy_L2   , Fy_R1   , Fy_R2   , Fz_Air  , Fz_L1   , Fz_L2   , Fz_R1   , Fz_R2   , MuX_L1  , MuX_L2  , MuX_R1  , MuX_R2  , MuY_L1  , MuY_L2  , MuY_R1  , MuY_R2  , Steer_SW
        7.025, -0.456295883815, -0.0487501590958, 0.40860574197, -0.0410969940616, -2.50901959616, -3.34868141488, -416.661023215, 1699.68279738, -38.8455521845, 1699.42579926, -39.1408888681, 0.27104251876, 480.590801856, 44.0548828635, -389.593149136, 40.4601869603, 249.996548436, 3971.24172776, 3349.99536692,  4017.5471412, 3414.70708831,             1,             1,             1,             1,             1,             1,             1,             1, -7.96208825377
         7.05, -0.452154445638, -0.0510895742796, 0.412863940914, -0.0435114566132, -2.51045848091, -3.34720866317, -417.908381297, 1698.90828851, -38.9057929212, 1698.65051046, -39.0883213909, 0.309635140804, 475.905361457, 46.8448771367, -394.47900448, 43.3659554917, 250.744943572,  3971.0026805, 3350.84919524, 4017.32790809, 3413.83623791,             1,             1,             1,             1,             1,             1,             1,             1, -8.30911227817
        7.075, -0.447552072823, -0.0524197152497, 0.417587770766, -0.0449087964817, -2.5119905481, -3.34564213651, -419.156397167,  1698.1490324, -38.9659374006, 1697.87871244, -39.034039012, 0.342525615392, 470.475723696, 48.7052994258, -400.154877214, 45.3008018022, 251.493734351, 3971.30897333, 3352.29266169, 4016.57958752, 3412.35328442,             1,             1,             1,             1,             1,             1,             1,             1, -8.62828498369
          7.1, -0.443377629988, -0.05262551874, 0.421871732184, -0.0451757428469, -2.51342624772, -3.34417346257, -420.405070309, 1697.40281041, -39.0220428819, 1697.11329539, -38.9832860099, 0.367705520329, 465.116584315, 49.5163725303, -405.765535321, 46.1464436379, 252.242922756, 3972.29775024, 3354.40962501,  4015.1566973, 3410.17582743,             1,             1,             1,             1,             1,             1,             1,             1, -8.89635915787
        7.125, -0.439107934442, -0.0516443988873, 0.426241803849, -0.0442466204525, -2.51478586046, -3.34278260935, -421.654400327,  1696.6662352, -39.0710666178, 1696.36047337, -38.939987073, 0.383286068097, 460.076552226, 49.1854276776, -411.031080285, 45.8123296917, 252.992510821, 3973.88877517, 3357.12518278, 4013.12035914,  3407.3873392,             1,             1,             1,             1,             1,             1,             1,             1, -9.10464726357
         7.15, -0.435579848528, -0.0494947150987, 0.429843126245, -0.0421347115424, -2.51592068396, -3.34161975513, -422.904385843, 1695.94904756, -39.1125357478, 1695.60702933, -38.9053171758, 0.388191638589,  455.39555453, 47.6887933936, -415.897417405, 44.2786476829, 253.742499192, 3976.00364738, 3360.28385248, 4010.53147226, 3404.14805203,             1,             1,             1,             1,             1,             1,             1,             1, -9.24815094414
        7.175, -0.433062831036, -0.0462489038425, 0.432398444891, -0.0389069586646, -2.51671870018, -3.34079865994, -424.155028895, 1695.22791891, -39.1400465682, 1694.88604944, -38.8863858941, 0.381595695398,  452.01711457, 45.0621359236, -419.386642483, 41.5865887858, 254.492889855, 3978.50889889, 3363.68307519, 4007.52113712, 3400.65443969,             1,             1,             1,             1,             1,             1,             1,             1, -9.33928127385
          7.2, -0.430604688032, -0.0420706144727, 0.43487376672, -0.0347240578371, -2.51730548199, -3.34019172927, -425.406336168, 1694.52063269, -39.155218405, 1694.17962802, -38.8817329748, 0.363501858485, 449.325357173, 41.4138459657, -422.126924706, 37.8520112335, 255.243686355,  3981.1496019, 3367.04989264, 4004.35186724, 3397.15803111,             1,             1,             1,             1,             1,             1,             1,             1, -9.40407076388
        7.225, -0.427741850158, -0.0372026805508, 0.43774305138, -0.0298307488929, -2.51777690331, -3.33970095044, -426.658317625, 1693.84327599, -39.1636063034, 1693.46983856, -38.8853155877, 0.33524328304, 446.338546303, 36.9426135825, -425.12902569, 33.2797945639, 255.994892746, 3983.71901397, 3370.21050486, 4001.23546065, 3393.80799667,             1,             1,             1,             1,             1,             1,             1,             1, -9.46038612085
         7.25, -0.424259953769, -0.0318976166815, 0.441225122887, -0.0244871978186, -2.51820916705, -3.33924902007, -427.910985424,   1693.183851, -39.1692900791, 1692.76947593, -38.8923053221, 0.298865324839, 442.711596114, 31.8903520837, -428.750799216, 28.1163553863, 256.746513723, 3986.17244757, 3373.19554077, 3998.21827244,  3390.5623915,             1,             1,             1,             1,             1,             1,             1,             1, -9.51317247548
