AAx,AAy,AAz,ABS_L1,ABS_L2,ABS_R1,ABS_R2,Ax_SCcmd,CamberL1,CamberR1,M_Tbar,PbkCh_L1,PbkCh_L2,PbkCh_R1,PbkCh_R2,Roll,Steer_L1,Steer_R1,Steer_SW,Vx,Yaw
-0.352122132,0.312600205,0.005537169,1,1,1,1,0,-0.897871804,1.896731689,-6.824251275,6.864445118,6.864445118,6.864445118,6.864445118,0.901664761,-0.112636766,1.783210778,-28.85606818,61.3972402,-88.87618197
0.150851569,-0.562233422,0.17617778,0,0,1,1,0,-0.979267264,1.861712795,-7.688571231,6.606766746,6.545460335,7.28228378,7.28228378,0.819267783,-0.215427598,1.662079895,-32.6317472,60.6066223,-88.73828166
-1.04692254,-0.603027023,-0.195349552,0,0,1,1,0,-1.067007191,1.767371781,-10.43466757,4.355501845,4.315085678,7.52150883,7.52150883,0.731077839,-0.018536778,1.835171321,-36.55109247,59.8147302,-88.59767136
-0.792388058,-0.954146458,-0.236867781,1,0,0,0,0,-1.168437233,1.773912286,-6.105408136,4.145333664,2.844714268,6.619986908,5.624398112,0.609755567,-0.464650255,1.368921044,-40.34968745,59.03254464,-88.46447817
0.105122253,-1.452388132,-0.330491347,1,0,0,0,0,-1.229762459,1.826989086,-0.5709239,5.392257946,1.875373949,4.364217218,3.707876681,0.46405463,-1.30345063,0.518042145,-43.97962996,58.31248404,-88.34017808
0.588579229,-0.470173568,-0.204120811,1,1,1,0,0,-1.222426375,1.814164989,-6.484109455,6.217757267,2.569950185,5.207071846,2.444412576,0.318015513,-1.197581301,0.620595795,-47.48466162,57.56706266,-88.22562353
1.530068262,0.273978503,-0.411270754,1,1,1,1,0,-1.232573119,1.880428556,-7.649781789,6.721529797,4.31671802,6.05523683,2.975721983,0.19464431,-1.298691103,0.51298168,-50.90892957,56.81245173,-88.12066043
1.009232614,0.629196735,-0.576688186,0,1,1,1,0,-1.231275997,1.977842608,-7.083731692,6.630994368,5.447944136,6.594060258,4.563894352,0.120107451,-1.481382311,0.324544789,-54.21534073,56.03756554,-88.03044144
-0.466291476,-0.645366151,-0.118197195,1,0,1,1,0,-1.278923433,1.998231783,-6.669381092,5.988647536,4.681527744,4.855155314,6.739492292,-0.140268062,-2.071221053,-0.306693169,-63.01466682,52.87937514,-87.92229181
0.879295318,-0.828484581,-0.090857101,1,0,1,0,0,-1.299604817,2.014774109,-7.557093016,6.414907124,3.086290694,5.667653944,4.623895927,-0.246723361,-2.046963605,-0.287797804,-64.15574408,52.17053162,-87.94315093
0.384980074,-0.794444777,-0.130162943,1,0,1,0,0,-1.328786419,2.053422607,-7.693455777,6.678718916,2.034632874,6.18609329,3.048296998,-0.330834433,-2.093439734,-0.340524105,-65.32960567,51.40365608,-87.96653459
-0.400602154,-0.726035022,-0.366282112,0,1,1,0,0,-1.340664036,2.01252417,-10.46450127,5.545662714,3.138123767,6.469157093,2.009585582,-0.40091664,-1.927315223,-0.17712439,-66.19792092,50.61413539,-87.99681822
0.0896344,-0.147695986,-0.301055528,1,1,1,1,0,-1.301139682,1.976117585,-13.85634519,3.655970478,4.492716692,6.688695807,1.472987451,-0.477284889,-1.470318915,0.285464894,-66.34230355,49.86341979,-88.03791718
0.145805307,1.095543994,-0.844930222,1,1,0,1,0,-1.3585374,2.098733287,-4.05134921,4.871993227,5.403685633,5.384174034,3.412933657,-0.553382502,-2.171287682,-0.432499005,-65.7626056,49.08189309,-88.09294485
-0.200132248,0.678587077,-0.329673657,1,1,1,1,0,-1.324229025,2.119860357,-1.327078536,5.644964312,5.995481796,4.256886726,4.683081308,-0.624059075,-2.39589669,-0.648171717,-64.14561437,48.3131232,-88.17521464
0.421785128,0.422982539,-0.008019244,1,1,1,1,0,-1.271762036,2.077001322,-6.535029965,6.165169665,6.396247832,5.250081435,5.531049624,-0.696319373,-1.994918466,-0.220843311,-61.74366724,47.56688674,-88.2706016
0.39136397,0.466526386,0.150685733,1,1,1,1,0,-1.242767095,2.082122363,-7.1413657,6.513116362,6.665454324,5.909845711,6.095073602,-0.756510129,-1.779032904,0.012598315,-58.88628962,46.8317977,-88.36604571
0.029209348,0.174977078,0.125708829,0,1,1,0,0,-1.197028092,2.086465178,-9.432709691,4.946047151,6.828012591,6.329878657,6.134074086,-0.804954496,-1.348803481,0.463473697,-55.72600413,46.08763356,-88.45690402
-0.386234711,-0.728360186,-0.105791196,1,0,1,0,0,-1.176294047,2.054228928,-9.87175367,3.74461109,4.639009529,6.56810947,4.043879862,-0.851977789,-0.984394454,0.839059464,-52.23806077,45.33653166,-88.54402184
-0.792287414,-0.394579567,-0.03922339,1,0,1,0,0,-1.179674959,1.978215029,-8.547831414,4.922329695,3.05826062,6.783717099,2.665922209,-0.911689611,-0.898547213,0.929612018,-48.26658587,44.57900556,-88.63341192
-0.357476688,0.469653267,0.161041268,1,1,0,0,0,-1.160725809,1.964484609,-2.569158199,5.752400068,3.577771369,4.955724807,1.757505531,-0.996279778,-1.134312302,0.703113958,-43.78881778,43.81797923,-88.72392646
1.177633711,0.168581662,0.80072774,1,1,1,1,0,-1.16694078,2.001278502,4.305541475,6.323252296,4.889631332,4.001777667,3.242388962,-1.091887097,-1.334728603,0.509554634,-39.06400872,43.04019459,-88.80741515
1.648218154,0.144237343,0.832643096,1,1,1,1,0,-1.170848403,1.94924792,0.069252052,6.704843348,5.75973071,5.174414408,4.673788454,-1.152409756,-0.848007328,1.002221899,-34.52857234,42.28907684,-88.86522118
-0.562983725,-0.221781995,0.325170842,1,1,1,0,0,-1.10261041,1.825493035,-7.696938378,3.930817891,6.723864322,6.469480742,4.885938222,-1.192549278,0.368146443,2.229712612,-26.3140668,40.78074423,-88.90575582
-0.807059194,-0.007969269,0.028539376,1,0,1,0,0,-1.099955237,1.797687558,-6.728927951,5.071083502,4.787447863,6.744693477,3.221048019,-1.239172453,0.46509787,2.33147245,-22.07197916,40.03432388,-88.90662938
-0.08619103,-0.650220689,0.547726714,1,0,0,0,0,-1.073958569,1.797931317,1.695150942,5.762099009,3.156118385,4.505940267,2.123471454,-1.311234358,0.090508825,1.966306784,-17.56823644,39.28122705,-88.90355786
0.990358887,-1.042642641,0.892249187,1,0,1,1,0,-1.062408615,1.736222439,1.265122796,5.76387993,2.080666683,4.567608334,1.57898961,-1.385607608,0.349804432,2.227718192,-13.1670415,38.54168188,-88.88096481
0.08829026,-0.84532567,0.961382155,1,1,1,1,0,-1.074020751,1.673623926,2.249293351,5.099889549,2.606544984,4.311249153,2.34100639,-1.431895805,0.515431193,2.38953187,-9.29377039,37.81185698,-88.82595974
-0.656452885,1.25349066,0.272793056,0,1,1,1,0,-0.96523134,1.708173948,0.027113352,3.712087554,2.588106233,3.7119301,2.413050282,-1.477327283,0.91085058,2.801804189,-5.240355063,37.2221245,-88.74452058
0.314137924,0.421886197,1.097524942,1,1,1,1,0,-0.873116897,1.770244291,-0.866114424,2.58175337,2.266195542,3.007074873,2.150790148,-1.543013885,1.12971895,3.035453774,-1.445146614,36.53446889,-88.6487988
0.51036999,-1.085181743,0.42868919,1,1,1,1,0,-1.028920491,1.638692352,5.732286905,2.047002623,1.838971561,2.327395236,1.762890715,-1.605027305,0.958682729,2.835929414,2.363437531,35.99805832,-88.52153506
0.100630137,-0.889704469,0.240364442,1,1,1,1,0,-1.127479206,1.487843128,4.68123949,1.592926939,1.455782749,1.777775381,1.405626556,-1.651242167,1.284209943,3.137885142,6.354297291,35.57684396,-88.37545492
0.052088979,-0.392680222,0.194350288,1,1,1,1,0,-1.115866411,1.45052348,5.952943173,1.229554594,1.139142476,1.351415674,1.106077076,-1.693224668,1.43569977,3.283575047,10.56271859,35.19630007,-88.21917657
0.145545223,-0.163640555,0.208133327,1,1,1,1,0,-1.081446876,1.458534759,6.005992974,0.953660952,0.894056889,1.033997701,0.872258569,-1.735227222,1.696942336,3.539993028,15.17541813,34.88898252,-88.05526773
1.028484966,-0.253243764,0.204607879,1,1,1,1,0,-1.046925109,1.528806136,7.033248028,0.750170342,0.710876445,0.803132232,0.696505933,-1.768903021,1.899878594,3.739890992,19.98218946,34.60937226,-87.88397018
0.754844591,-0.421474564,0.293577111,1,1,1,1,0,-1.049066546,1.539272473,7.429488672,0.600685845,0.574781398,0.635600898,0.565307657,-1.7712172,2.137217436,3.965164008,24.86498142,34.35107661,-87.70439418
-0.740240657,-0.378476644,0.349059833,1,1,1,1,0,-0.988208354,1.49700931,6.922251404,0.495009541,0.477932071,0.518027242,0.47168652,-1.752456474,2.464506498,4.284514715,29.85854131,34.13902507,-87.51402223
-0.030494498,0.010430143,0.448332389,1,1,1,1,0,-0.882158972,1.537645116,7.72331064,0.423930054,0.412671755,0.439104441,0.408554384,-1.753049611,2.700069064,4.524244658,34.92983365,33.95121179,-87.31031171
0.729331157,0.282461496,0.414496736,1,1,1,1,0,-0.809442396,1.611468639,7.845212795,0.378086856,0.370664838,0.38809055,0.367950467,-1.756994678,2.958033223,4.781897235,39.94465197,33.77382407,-87.09096933
-0.080261582,0.322150791,0.448688127,1,1,1,1,0,-0.74207153,1.633955791,8.221133382,0.351009756,0.346116801,0.357604677,0.344327355,-1.742040822,3.210652169,5.030988177,44.77028024,33.59959241,-86.85673597
0.397751913,-0.227073225,0.780169649,1,1,1,1,0,-0.671457233,1.592922669,8.502580293,0.338250797,0.335025123,0.34259849,0.333845434,-1.730861266,3.466167362,5.279168064,49.46552242,33.44689719,-86.60581364
-1.32056966,-1.564135459,0.626968131,1,1,1,1,0,-0.615097835,1.610681032,8.258688038,0.339335395,0.337208874,0.342201605,0.336431165,-1.732432324,3.732095213,5.53604268,53.82921951,33.32316402,-86.33041095
0.456487616,0.774775141,0.176447058,1,1,1,1,0,-0.561496276,1.696494302,8.069611123,0.346455949,0.345054043,0.348345494,0.34454134,-1.762025574,3.999881111,5.79537974,57.95163534,33.17773349,-86.03459626
0.57655443,1.64339325,0.296339259,1,1,1,1,0,-0.499787308,1.755760966,8.688448545,0.35902167,0.358097466,0.360267351,0.357759467,-1.779935348,4.190125426,5.980144512,61.99187803,33.0244672,-85.73096736
0.449696309,1.616921673,0.408709938,1,1,1,1,0,-0.46110608,1.777522858,8.719195257,0.378562625,0.377953345,0.379383838,0.377730519,-1.779854391,4.405311695,6.180529635,65.85009178,32.87710443,-85.41856953
0.347368758,1.36340656,0.417432465,1,1,1,1,0,-0.439766811,1.785206478,8.84533085,0.403235648,0.40283398,0.403777031,0.402687083,-1.763867808,4.621049057,6.378126108,69.37755858,32.72363023,-85.09388164
-0.753027941,0.065900424,0.652288899,1,1,1,1,0,-0.416412935,1.74112047,8.648336616,0.431041963,0.430777165,0.43139887,0.430680323,-1.743157129,4.823469116,6.559843854,72.57617977,32.57518381,-84.75452537
0.27547616,-0.568338842,0.611461994,1,1,1,1,0,-0.40988397,1.678582521,8.49362329,0.459286597,0.459112029,0.459521887,0.459048186,-1.744424019,5.005679552,6.71965524,75.32584754,32.42427827,-84.39281111
1.115779995,0.099112653,0.308073074,1,1,1,1,0,-0.453274242,1.696427595,8.667261052,0.484434452,0.484319369,0.484589567,0.48427728,-1.738076592,5.151639703,6.840190271,77.60053493,32.26454719,-84.00941388
-0.009199782,0.155037469,0.214188054,1,1,1,1,0,-0.48798855,1.731316522,8.486042359,0.507397931,0.507322063,0.507500191,0.507294316,-1.699598274,5.309766598,6.976526239,79.57085194,32.10406106,-83.61421663
-0.427758986,-0.43723128,0.271269326,1,1,1,1,0,-0.488429876,1.726518675,8.374351376,0.529184427,0.529134411,0.529251842,0.529116119,-1.659061791,5.435527886,7.08787127,81.37085238,31.94115434,-83.21100907
-0.12938017,-0.480537758,0.204548213,1,1,1,1,0,-0.497395452,1.676751778,8.306821027,0.547200392,0.547167419,0.547244835,0.54715536,-1.632100565,5.540957846,7.1762542,82.97136723,31.77046876,-82.79795836
-0.067157123,-0.096841194,0.033196014,1,1,1,1,0,-0.511927868,1.663047723,8.218529491,0.561775891,0.561754153,0.56180519,0.561746203,-1.611680987,5.657875888,7.27775517,84.42516661,31.59984259,-82.37728129
0.198039295,0.360993969,-0.139524126,1,1,1,1,0,-0.532375624,1.698416708,8.499419429,0.57288329,0.572868959,0.572902605,0.572863719,-1.592780891,5.729807054,7.337890501,85.81290783,31.41940745,-81.9554552
0.379542536,0.45416307,0.011044203,1,1,1,1,0,-0.553746931,1.73498508,8.31463799,0.581753936,0.581744488,0.581766669,0.581741033,-1.567753625,5.836503947,7.430493461,87.2424571,31.24100965,-81.53783136
0.369978773,-0.125581749,0.165053541,1,1,1,1,0,-0.573928839,1.754537153,8.559261344,0.589382397,0.589376169,0.589390792,0.589373891,-1.527265074,5.90484004,7.486946795,88.56104716,31.06089645,-81.12060586
-0.632479243,-0.462124812,0.178234876,1,1,1,1,0,-0.585991945,1.751809187,8.085330726,0.594886934,0.594882829,0.594892469,0.594881327,-1.47709614,6.002034329,7.570364811,89.69552646,30.8888958,-80.69788598
0.147458704,-0.011735444,0.061184775,1,1,1,1,0,-0.575504941,1.802830331,8.052688426,0.584218883,0.584216176,0.584222531,0.584215186,-1.442651532,6.101394662,7.665526949,90.75870207,30.72374921,-80.26880448
0.662260952,0.091167327,0.077570932,1,1,1,1,0,-0.575734148,1.898587969,8.678550747,0.483334631,0.483332846,0.483337036,0.483332194,-1.404409779,6.116312641,7.681332404,91.77298387,30.55906058,-79.83697923
0.091921601,-0.048752232,0.09078314,1,1,1,1,0,-0.57441862,1.932865149,8.343064757,0.354557117,0.354555941,0.354558703,0.35455551,-1.346023385,6.183776356,7.742392185,92.67983342,30.39879795,-79.40248943
-0.608654491,-0.198090842,0.045310062,1,1,1,1,0,-0.579918729,1.899318349,8.374389388,0.239534902,0.239534127,0.239535948,0.239533843,-1.285255569,6.24142985,7.789862444,93.51030757,30.24593592,-78.96494157
0.236070658,0.141851494,-0.020134048,1,1,1,1,0,-0.591371067,1.869275824,8.125814726,0.157913053,0.157912542,0.157913742,0.157912355,-1.241915668,6.310490294,7.846099184,94.40698076,30.11361523,-78.52574451
1.082557417,0.556371507,0.005837665,1,1,1,1,0,-0.581429919,1.919790454,8.183712007,0.104103962,0.104103625,0.104104416,0.104103502,-1.190875568,6.382801247,7.915836279,95.34956146,30.00344045,-78.08689845
0.474782844,0.220228733,0.226637963,1,1,1,1,0,-0.553057691,1.976205256,8.683128953,0.068630393,0.068630171,0.068630693,0.06863009,-1.105913395,6.391502185,7.928996043,96.19498591,29.90011826,-77.64743507
-0.464896049,-0.225891823,0.265509554,1,1,1,1,0,-0.523636747,1.908616965,8.475561797,0.045244492,0.045244345,0.045244689,0.045244292,-1.004796733,6.428024299,7.959248403,96.85218473,29.80610557,-77.20063136
-0.904266597,-0.302420831,0.11214388,1,1,1,1,0,-0.49905355,1.777969172,7.90980108,0.029827369,0.029827272,0.029827499,0.029827237,-0.920480186,6.533596947,8.052468181,97.48804669,29.7446911,-76.74477431
0.229192545,-0.21240669,0.081675401,1,1,1,1,0,-0.492650808,1.776255951,8.507219385,0.019663652,0.019663588,0.019663737,0.019663565,-0.86167365,6.533527383,8.049183251,98.31570549,29.72856401,-76.28426794
0.205156278,-0.32857135,0.116467883,1,1,1,1,0,-0.460778773,1.803731848,8.226866929,0.012963235,0.012963193,0.012963292,0.012963178,-0.799521804,6.608440761,8.12199518,99.27935435,29.75937393,-75.82053433
-0.119294744,-0.437312764,0.198206429,1,1,1,1,0,-0.405840835,1.790949139,8.431800121,0.008545995,0.008545967,0.008546032,0.008545957,-0.73135393,6.659481841,8.175082066,100.3345363,29.83245978,-75.35223405
-0.377796835,-0.442714924,0.182100112,1,1,1,1,0,-0.345800185,1.735835831,8.104852765,0.005633935,0.005633917,0.00563396,0.00563391,-0.667379537,6.747212929,8.260989304,101.4687541,29.95018681,-74.87692481
-0.95081793,0.004930439,0.14104284,1,1,1,1,0,-0.260715265,1.689617051,7.802008083,0.003714164,0.003714152,0.00371418,0.003714148,-0.619176027,6.861516376,8.38008142,102.7138357,30.10884592,-74.39496353
-0.938614617,-0.042712141,0.285793255,1,1,1,1,0,-0.162528328,1.670654545,8.201775486,0.002448558,0.00244855,0.002448568,0.002448547,-0.604026671,6.900264076,8.434843766,104.1503683,30.30877434,-73.90721862
-0.410361322,-0.519991046,0.403334433,1,1,1,1,0,-0.074496561,1.662700757,7.233535256,0.001614208,0.001614203,0.001614215,0.001614201,-0.621256626,7.053657524,8.597416732,105.6157183,30.54129374,-73.40934642
-0.502115086,-0.216250094,0.32827357,1,1,1,1,0,0.007624968,1.671910911,6.711927763,0.001064164,0.001064161,0.001064169,0.00106416,-0.65665592,7.181335116,8.741364644,106.9583421,30.79500822,-72.89744927
-0.975971193,0.190682477,0.24089468,1,1,1,1,0,0.075243055,1.678327767,5.701166958,0.000701549,0.000701547,0.000701552,0.000701546,-0.712561589,7.347526624,8.920373441,108.2057758,31.0552132,-72.37351068
-1.755166835,0.786369247,0.189944676,1,1,1,1,0,0.13727265,1.640789929,4.154351758,0.000462495,0.000462494,0.000462497,0.000462493,-0.805797724,7.538271693,9.122026848,109.3450464,31.29880847,-71.84083935
-1.538134485,0.653412314,0.271126514,1,1,1,1,0,0.187231617,1.601757269,4.088697904,0.000304899,0.000304898,0.000304901,0.000304898,-0.96056321,7.601596081,9.207014753,110.4625631,31.5326736,-71.30071947
-0.338222917,-0.096031509,0.292473332,1,1,1,1,0,0.213542304,1.577877035,4.248734444,0.000201004,0.000201004,0.000201005,0.000201004,-1.168242738,7.644909139,9.262657576,111.5179028,31.77178024,-70.75111622
-0.322423636,0.310866169,0.024963275,1,1,1,1,0,0.233271633,1.560324181,3.256171721,0.000132512,0.000132511,0.000132512,0.000132511,-1.393059518,7.740549104,9.36309824,112.3247269,31.99431515,-70.1921011
-0.219344321,0.550018673,-0.030117456,1,1,1,1,0,0.240783816,1.524082286,4.1435698,8.74E-05,8.74E-05,8.74E-05,8.74E-05,-1.628547115,7.737312181,9.365145222,113.1098315,32.21316314,-69.63172694
-0.583984974,0.641649653,0.168750519,1,1,1,1,0,0.250355649,1.425867603,2.946110006,5.76E-05,5.76E-05,5.76E-05,5.76E-05,-1.872969847,7.856996433,9.474134213,113.8064742,32.41525807,-69.07243342
-0.120717231,0.14398486,0.220826487,1,1,1,1,0,0.258520888,1.344024076,3.026371998,3.80E-05,3.80E-05,3.80E-05,3.80E-05,-2.134431704,7.880735851,9.500912723,114.3667258,32.61363297,-68.50869673
0.334303975,-0.476235763,0.098397214,1,1,1,1,0,0.248723095,1.231506866,6.173071433,2.50E-05,2.50E-05,2.50E-05,2.50E-05,-2.400809324,7.696432303,9.319744822,114.8356998,32.83582601,-67.93820112
0.494972195,-0.006519127,0.077575916,1,1,1,1,0,0.25006728,1.150728752,3.661752034,1.65E-05,1.65E-05,1.65E-05,1.65E-05,-2.655731702,7.889781588,9.485216715,115.1962241,33.06885361,-67.36357008
-0.524418684,-0.229953124,0.140737467,1,1,1,1,0,0.247010963,1.121766469,4.399376018,1.09E-05,1.09E-05,1.09E-05,1.09E-05,-2.899191869,7.861421867,9.454539649,115.4536829,33.29773396,-66.78612974
-0.3468481,-0.651253258,-0.016751315,1,1,1,1,0,0.241802417,1.00178607,4.916478215,7.17E-06,7.17E-06,7.17E-06,7.17E-06,-3.154064835,7.852563474,9.436062895,115.6938373,33.54195939,-66.20444115
-0.472653023,-0.977438077,-0.06467948,1,1,1,1,0,0.225323567,0.886826057,5.337604654,4.73E-06,4.73E-06,4.73E-06,4.73E-06,-3.423451496,7.864652544,9.423571096,116.0707469,33.8151708,-65.62186829
0.808470097,-0.839262538,0.065808064,1,1,1,1,0,0.202955852,0.896464987,3.690834174,3.12E-06,3.12E-06,3.12E-06,3.12E-06,-3.701223829,8.038816324,9.556288344,116.5575452,34.0998429,-65.03902833
-0.459231303,-0.564003965,-0.103564939,1,1,1,1,0,0.188211928,0.907943616,5.093817294,2.05E-06,2.05E-06,2.05E-06,2.05E-06,-3.961044897,7.982956677,9.494126752,116.9586512,34.37798889,-64.45291288
-0.86697786,-0.478767062,-0.353511371,1,1,1,1,0,0.16475704,0.889602847,6.355608302,0.061044185,0.061044185,0.061044185,0.061044185,-4.232792843,7.922712218,9.419351724,117.5446822,34.66812251,-63.86879775
0.059721103,-0.033611533,-0.505165446,1,1,1,1,0,0.112760971,0.933069004,6.996473939,0.358288435,0.358288435,0.358288435,0.358288435,-4.529224706,7.948876061,9.408667555,118.4014758,34.93111179,-63.29559325
0.370622501,0.112463152,-0.503285268,1,1,1,1,0,0.033962947,1.038463756,8.846973029,1.098751579,1.098751579,1.098751579,1.098751579,-4.825817217,7.87718149,9.301771631,119.4802885,35.14017645,-62.73915137
2.051880617,0.852336078,-0.063864445,1,1,1,1,0,-0.075397662,1.184931101,11.01969248,2.447833688,2.447833688,2.447833688,2.447833688,-5.101140468,7.734828565,9.128144105,120.5573815,35.2472154,-62.20016022
0.934401426,1.388881146,0.530153611,1,1,1,1,0,-0.172535568,1.283039671,5.08785011,4.268064734,4.268064734,4.268064734,4.268064734,-5.317477353,8.302385329,9.631583225,120.3721544,35.03989521,-61.66538095
0.80033833,1.11597302,0.467079251,1,1,1,1,0,-0.284192825,1.344806505,0.773372687,6.027102314,6.027102314,6.027102314,6.027102314,-5.496643335,8.620367952,9.916392036,118.5280152,34.54802347,-61.11731303
0.800965049,0.702161636,0.034942341,1,1,1,1,0,-0.505451871,1.375554338,-3.442246484,7.265403003,7.265403003,7.265403003,7.265403003,-5.648914609,8.775053513,10.04055146,115.2241411,33.8363807,-60.55783258
0.479469951,-0.790438785,-0.299481407,1,0,1,1,0,-0.822163195,1.37333604,-5.488153059,7.839181371,7.662491015,7.839181371,7.839181371,-5.772942948,8.725371525,9.978042955,111.2180559,33.04850987,-59.99882351
1.012767595,-1.781401186,-0.030842573,1,0,0,1,0,-1.114603614,1.382003858,-1.294623903,7.887150861,5.051486188,6.031455367,7.887150861,-5.876541008,8.160967599,9.451240568,107.0407056,32.24723149,-59.44632456
2.844448421,-1.851544414,0.808688062,1,0,1,1,0,-1.381346205,1.382637957,1.812582291,7.508978129,3.330185287,5.265023944,7.508978129,-5.939082285,7.603660984,8.935416501,102.1999246,31.38563343,-58.88604518
2.907561068,-1.527072558,-0.079320691,1,0,1,1,0,-1.795670615,1.426929432,4.848904199,6.854848982,2.195420047,5.375525288,6.854848982,-5.908673011,7.024461001,8.400519827,96.12462606,30.55424459,-58.29630182
1.725493522,-0.753872155,-1.004521546,1,1,1,1,0,-1.990109002,1.519991262,-0.208880619,6.124143585,2.506073271,5.148901484,6.124143585,-5.777513637,6.924425987,8.327425638,89.39367315,29.78201735,-57.70365561
0.894412853,-0.342156541,-1.529668943,1,1,1,1,0,-2.00433632,1.682550202,-0.756882033,5.412093025,3.026885172,4.769166018,5.412093025,-5.581299915,6.535896297,7.992878099,82.88527654,29.0404242,-57.14330305
0.851646365,-0.38136017,-1.837989671,1,1,1,1,0,-2.138966177,1.835351489,3.059139141,4.269041941,2.696596962,3.845193201,4.269041941,-5.347272368,5.909843907,7.425130253,77.20525961,28.33359233,-56.63643032
